flat,mrt,mrt_dist,num_mrt_2km,supermarket_dist,num_supermarket_2km,hawker,hawker_dist,num_hawker_2km,school,school_dist,num_school_2km
168 LOR 1 TOA PAYOH,TOA PAYOH MRT STATION,0.463,6,0.426,18,Blk 93 Toa Payoh Lorong 4,1.005,6,CHIJ Primary (Toa Payoh),0.207,8
113 HOUGANG AVE 1,KOVAN MRT STATION,0.836,4,0.22,12,Market Street Food Centre,0.677,2,Xinghua Primary School,0.519,6
171 ANG MO KIO AVE 4,YIO CHU KANG MRT STATION,1.29,2,0.435,8,Sembawang Hill Food Centre,0.788,2,Mayflower Primary School,0.157,7
222 SERANGOON AVE 4,SERANGOON MRT STATION,0.875,5,0.487,13,Serangoon Garden Market,0.718,5,Zhonghua Primary School,0.255,9
437 TAMPINES ST 43,TAMPINES EAST MRT STATION,0.535,5,0.176,19,Market Street Food Centre,1.79,1,Tampines North Primary School,0.323,14
807 KING GEORGE'S AVE,LAVENDER MRT STATION,0.263,19,0.055,28,North Bridge Road Market & Food Centre,0.457,8,Stamford Primary School,0.783,4
442B FAJAR RD,BANGKIT LRT STATION,0.213,12,0.247,9,Bukit Timah Market,4.671,0,Zhenghua Primary School,0.309,7
782B WOODLANDS CRES,ADMIRALTY MRT STATION,0.801,2,0.26,18,Blks 20/21 Marsiling Lane,2.923,0,Riverside Primary School,0.162,11
461 TAMPINES ST 44,TAMPINES EAST MRT STATION,0.294,5,0.229,19,Market Street Food Centre,1.856,1,Gongshang Primary School,0.633,11
121 SERANGOON NTH AVE 1,KOVAN MRT STATION,1.704,4,0.372,17,Chomp Chomp Food Centre,0.608,5,Zhonghua Primary School,0.763,5
488 JURONG WEST AVE 1,LAKESIDE MRT STATION,0.788,2,0.148,12,Blk 505 Jurong West Street 52,0.865,3,Shuqun Primary School,0.543,8
623 ANG MO KIO AVE 9,YIO CHU KANG MRT STATION,0.465,2,0.95,9,Blk 724 Ang Mo Kio Ave 6,1.318,2,Anderson Primary School,0.188,5
201 SERANGOON CTRL,SERANGOON MRT STATION,0.127,6,0.127,12,Serangoon Garden Market,1.522,4,Yangzheng Primary School,0.598,8
325 SERANGOON AVE 3,SERANGOON MRT STATION,0.411,5,0.401,10,Serangoon Garden Market,1.361,6,Yangzheng Primary School,0.254,13
340B SEMBAWANG CL,SEMBAWANG MRT STATION,0.287,1,0.174,13,Chong Pang Market & Food Centre,2.03,0,Sembawang Primary School,0.387,7
850 WOODLANDS ST 82,WOODLANDS MRT STATION,0.71,4,0.245,14,Blks 20/21 Marsiling Lane,1.686,2,Qihua Primary School,0.434,11
179 BT BATOK WEST AVE 8,BUKIT BATOK MRT STATION,0.895,5,0.163,20,Market Street Food Centre,0.56,1,Yuhua Primary School,0.355,8
920 HOUGANG ST 91,HOUGANG MRT STATION,1.106,8,0.4,18,Market Street Food Centre,1.974,2,Yio Chu Kang Primary School,0.213,13
286C COMPASSVALE CRES,CHENG LIM LRT STATION,0.358,26,0.364,19,Market Street Food Centre,4.468,0,Compassvale Primary School,0.435,18
207 JURONG EAST ST 21,JURONG EAST MRT STATION,0.524,4,0.428,19,Market Street Food Centre,0.81,1,Yuhua Primary School,0.563,6
240 TAMPINES ST 21,TAMPINES MRT STATION,0.292,5,0.168,17,Market Street Food Centre,1.1,1,Gongshang Primary School,0.332,12
107 BT BATOK WEST AVE 6,BUKIT BATOK MRT STATION,0.358,5,0.328,20,Market Street Food Centre,1.097,1,Princess Elizabeth Primary School,0.641,8
678B PUNGGOL DR,DAMAI LRT STATION,0.065,20,0.129,16,Market Street Food Centre,5.751,0,Oasis Primary School,0.283,12
603 WOODLANDS DR 42,ADMIRALTY MRT STATION,0.609,4,0.143,14,Blks 20/21 Marsiling Lane,2.246,0,Woodlands Ring Primary School,0.311,10
20 CHAI CHEE RD,BEDOK MRT STATION,0.827,5,0.235,20,Blk 538 Bedok North Street 3,0.669,6,Opera Estate Primary School,0.775,7
77 MARINE DR,EUNOS MRT STATION,2.052,0,0.173,10,Blk 50A Marine Terrace,0.896,2,Tao Nan School,0.49,6
